ranking,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
1,綾瀬はるか,綾瀬はるか,新垣結衣,綾瀬はるか,綾瀬はるか,綾瀬はるか,綾瀬はるか,松嶋菜々子,菅野美穂,天海祐希,,
2,新垣結衣,新垣結衣,綾瀬はるか,北川景子,堀北真希,堀北真希,堀北真希,綾瀬はるか,綾瀬はるか,仲間由紀恵,,
3,北川景子,石原さとみ,石原さとみ,有村架純,仲間由紀恵,上戸彩,天海祐希,天海祐希,上戸彩,松嶋菜々子,,
4,深田恭子,深田恭子,北川景子,新垣結衣,北川景子,北川景子,上戸彩,仲間由紀恵,柴咲コウ,上戸彩,,
5,石原さとみ,天海祐希,深田恭子,石原さとみ,新垣結衣,新垣結衣,松嶋菜々子,堀北真希,仲間由紀恵,菅野美穂,,
6,有村架純,有村架純,有村架純,堀北真希,柴咲コウ,菅野美穂,菅野美穂,上戸,天海祐希,綾瀬はるか,,
7,広瀬すず,北川景子,仲間由紀恵,天海祐希,杏,柴咲コウ,仲間由紀恵,新垣結衣,黒木メイサ,柴咲コウ,,
8,長澤まさみ,石田ゆり子,天海祐希,深田恭子,天海祐希,石原さとみ,柴咲コウ,竹内結子,松嶋菜々子,竹内結子,,
9,天海祐希,長澤まさみ,桐谷美玲,仲間由紀恵,米倉涼子,天海祐希,新垣結衣,菅野美穂,宮_あおい,新垣結衣,,
10,石田ゆり子,広瀬すず,篠原涼子,桐谷美玲,上戸彩,仲間由紀恵,篠原涼子,柴咲コウ,新垣結衣,宮_あおい,,
11,戸田恵梨香,上戸彩,広瀬すず,杏,松たか子,小泉今日子,米倉涼子,深津絵里,深津絵里,山口智子,,
12,米倉涼子,佐々木希,上戸彩,上戸彩,石原さとみ,松嶋菜々子,優香,長澤まさみ,篠原涼子,優香,,
13,仲間由紀恵,土屋太鳳,柴崎コウ,柴咲コウ,篠原涼子,米倉涼子,深田恭子,井上真央,竹内結子,深津絵里,,
14,多部未華子,仲間由紀恵,杏,篠原涼子,松嶋菜々子,篠原涼子,北川景子,優香,堀北真希,黒木瞳,,
15,柴咲コウ,米倉涼子,堀北真希,広瀬すず,菅野美穂,杏,江角マキコ,篠原涼子,北川景子,堀北真希,,
16,佐々木希,柴咲コウ,長澤まさみ,吉田羊,竹内結子,優香,深津絵里,宮崎あおい,小泉今日子,松たか子,,
17,篠原涼子,高畑充希,菅野美穂,松たか子,能年玲奈,井上真央,長澤まさみ,江角マキコ,深田恭子,長澤まさみ,,
18,橋本環奈,松嶋菜々子,米倉涼子,菅野美穂,深田恭子,深田恭子,樹木希林,北川景子,上野樹里,真矢みき,,
19,松嶋菜々子,菅野美穂,土屋太鳳,小泉今日子,優香,吉永小百合,石原さとみ,武井,松たか子,米倉涼子,,
20,高畑充希,桐谷美玲,石田ゆり子,米倉涼子,井上真央,江角マキコ,井上真央,芦田愛菜,真矢みき,深田恭子,,
21,竹内結子,戸田恵梨香,吉高由里子,松嶋菜々子,佐々木希,武井咲,小泉今日子,深田恭子,石原さとみ,篠原涼子,,
22,広瀬アリス,多部未華子,松嶋菜々子,長澤まさみ,長澤まさみ,長澤まさみ,真矢みき,小泉今日子,吉永小百合,吉永小百合,,
23,桐谷美玲,杏,武井咲,武井咲,武井咲,松たか子,常盤貴子,石原さとみ,松下奈緒,黒木メイサ,,
24,土屋太鳳,木村文乃,多部未華子,優香,小泉今日子,樹木希林,宮崎あおい,松,観月ありさ,常盤貴子,,
25,波瑠,篠原涼子,深津絵里,吉永小百合,吉永小百合,能年玲奈,竹内結子,香里奈,蒼井優,戸田恵梨香,,
26,芦田愛菜,波瑠,榮倉奈々,竹内結子,吉高由里子,観月ありさ,武井咲,米倉涼子,米倉涼子,蒼井優,,
27,吉田羊,深津絵里,小泉今日子,菜々緒,吉瀬美智子,深津絵里,吉永小百合,真矢みき,井上真央,藤原紀香,,
28,菅野美穂,芦田愛菜,井上真央,深津絵里,深津絵里,薬師丸ひろ子,吉高由里子,常盤貴子,山口智子,井上真央,,
29,薬師丸ひろ子,広瀬アリス,竹内結子,宮_あおい,桐谷美玲,松下奈緒,薬師丸ひろ子,吉永小百合,永作博美,観月ありさ,,
30,木村佳乃,井上真央,佐々木希,井上真央,上野樹里,宮_あおい,剛力彩芽,松雪泰子,黒木瞳,小雪,,
