drama_title,drama_category,,,main_actor,start_at
ハンチョウ～神南署安積班～（シリーズ2）,刑事ドラマ,TBS,月曜20:00 - 20:54,佐々木蔵之介,2010-01-01
コード・ブルー -ドクターヘリ緊急救命- 2nd season,医療ドラマ,フジテレビ,月曜21:00 - 21:54,山下智久,2010-01-01
泣かないと決めた日,社会派ドラマ,フジテレビ,火曜21:00 - 21:54,榮倉奈々,2010-01-01
まっすぐな男,人間ドラマ,関西テレビ,火曜22:00 - 22:54,佐藤隆太,2010-01-01
赤かぶ検事京都篇,検事ドラマ,TBS,水曜21:00 - 21:54,中村梅雀,2010-01-01
相棒 Season 8,刑事ドラマ,テレビ朝日,水曜21:00 - 21:54,水谷豊,2010-01-01
曲げられない女,人間ドラマ,日本テレビ,水曜22:00 - 22:54,菅野美穂,2010-01-01
とめはねっ! 鈴里高校書道部,学園ドラマ,NHK,木曜20:00 - 20:45,朝倉あき,2010-01-01
853～刑事・加茂伸之介,刑事ドラマ,テレビ朝日,木曜20:00 - 20:54,寺脇康文,2010-01-01
エンゼルバンク～転職代理人,社会派ドラマ,テレビ朝日,木曜21:00 - 21:54,長谷川京子,2010-01-01
不毛地帯,社会派ドラマ,フジテレビ,木曜22:00 - 22:54,唐沢寿明,2010-01-01
木下部長とボク,ヒューマンドラマ,日本テレビ,木曜23:58 - 翌0:38,板尾創路,2010-01-01
宿命 1969-2010 -ワンス・アポン・ア・タイム・イン・東京-,社会派ドラマ,テレビ朝日,金曜21:00 - 21:54,北村一輝,2010-01-01
ヤマトナデシコ七変化,ラブコメディ,TBS,金曜22:00 - 22:54,亀梨和也,2010-01-01
サラリーマン金太郎2,ビジネスドラマ,テレビ朝日,金曜23:15 - 翌0:15,永井大,2010-01-01
マジすか学園,学園ドラマ,テレビ東京,土曜0:12 - 0:53,前田敦子,2010-01-01
新撰組ピースメーカー,時代劇,毎日放送,土曜0:29 - 0:59,須賀健太,2010-01-01
咲くやこの花,時代劇,NHK,土曜19:30 - 19:58,成海璃子,2010-01-01
ブラッディ・マンデイ2,ミステリー,TBS,土曜19:56 - 20:54,三浦春馬,2010-01-01
君たちに明日はない,社会派ドラマ,NHK,土曜21:00 - 21:53,坂口憲二,2010-01-01
左目探偵EYE,推理サスペンス,日本テレビ,土曜21:00 - 21:54,山田涼介,2010-01-01
