year,sex,number_of_cm,name,age,group
1990,m,10,とんねるず,,
1990,m,7,田原　俊彦,,
1990,m,7,所　ジョージ,,
1990,m,6,中畑　清,,
1990,m,6,加勢　大周,,
1990,m,5,山崎　努,,
1990,m,5,日比野　玲,,
1990,m,5,高嶋　政宏,,
1990,m,5,稲川　淳二,,
1990,m,5,柳葉　敏郎,,
1990,m,5,本木　雅弘,,
1990,f,9,宮沢　りえ,,
1990,f,7,浅野　ゆう子,,
1990,f,6,小泉　今日子,,
1990,f,6,山瀬　まみ,,
1990,f,6,鈴木　保奈美,,
1990,f,6,賀来　千香子,,
1990,f,6,井森　美幸,,
1990,f,6,安田　成美,,
1990,f,6,松本　孝美,,
1990,f,6,工藤　夕貴,,
1990,f,6,浅野　温子,,
1990,f,6,鷲尾　いさ子,,
1990,f,6,山田　邦子,,
1990,f,6,中山　美穂,,
1991,m,8,加勢　大周,,
1991,m,7,織田　裕二,,
1991,m,7,とんねるず,,
1991,m,7,所　ジョージ,,
1991,m,6,植木　等,,
1991,m,6,田原　俊彦,,
1991,m,6,真田　広之,,
1991,m,6,柳葉　敏郎,,
1991,m,5,武田　鉄矢,,
1991,m,5,山崎　努,,
1991,m,5,高嶋　政伸,,
1991,m,5,吉田　栄作,,
1991,m,5,中村　雅俊,,
1991,f,8,小泉　今日子,,
1991,f,8,牧瀬　里穂,,
1991,f,8,宮沢　りえ,,
1991,f,7,桜井　幸子,,
1991,f,7,観月　ありさ,,
1991,f,6,賀来　千香子,,
1991,f,6,鈴木　保奈美,,
1991,f,6,沢口　靖子,,
1991,f,6,安田　成美,,
1991,f,6,工藤　夕貴,,
1991,f,6,有森　也実,,
1991,f,6,鷲尾　いさ子,,
1991,f,6,山田　邦子,,
1991,f,6,山瀬　まみ,,
1992,m,8,所　ジョージ,,
1992,m,6,織田　裕二,,
1992,m,6,高嶋　政伸,,
1992,m,5,武田　鉄矢,,
1992,m,5,加勢　大周,,
1992,m,5,緒形　直人,,
1992,m,5,蛭子　能収,,
1992,m,5,内山　信二,,
1992,m,5,ダウンタウン,,
1992,m,5,小林　稔侍,,
1992,m,5,とんねるず,,
1992,m,5,中村　雅俊,,
1992,m,5,田代　まさし,,
1992,m,5,植木　等,,
1992,f,9,観月　ありさ,,
1992,f,8,宮沢　りえ,,
1992,f,8,小泉　今日子,,
1992,f,8,三田　佳子,,
1992,f,8,中山　美穂,,
1992,f,7,沢口　靖子,,
1992,f,7,中村　あずさ,,
1992,f,6,牧瀬　里穂,,
1992,f,6,賀来　千香子,,
1993,m,9,所　ジョージ,,
1993,m,8,本木　雅弘,,
1993,m,7,辰巳　琢郎,,
1993,m,6,ＣＨＡＧＥ ＆ ＡＳＫＡ,,
1993,m,6,柳葉　敏郎,,
1993,m,6,高嶋　政伸,,
1993,m,6,中村　雅俊,,
1993,m,5,織田　裕二,,
1993,m,5,武田　修宏,,
1993,m,5,萩原　聖人,,
1993,m,5,田代　まさし,,
1993,f,8,牧瀬　里穂,,
1993,f,7,石田　ひかり,,
1993,f,7,竹下　景子,,
1993,f,7,観月　ありさ,,
1993,f,7,和久井　映見,,
1993,f,7,中村　あずさ,,
1993,f,7,中山　美穂,,
1993,f,6,鷲尾　いさ子,,
1993,f,6,一色　紗英,,
1993,f,6,安田　成美,,
1993,f,6,菊池　桃子,,
1993,f,6,三田　佳子,,
1994,m,8,所　ジョージ,,
1994,m,7,本木　雅弘,,
1994,m,7,イッセー　尾形,,
1994,m,7,中村　雅俊,,
1994,m,6,赤井　英和,,
1994,m,6,橋爪　功,,
1994,m,6,ラモス　瑠偉,,
1994,m,5,中山　雅史,,
1994,m,5,辰巳　琢郎,,
1994,m,5,周　富徳,,
1994,m,5,三浦　友和,,
1994,m,5,西田　敏行,,
1994,m,5,田村　正和,,
1994,m,5,高嶋　政伸,,
1994,m,5,柳葉　敏郎,,
1994,m,5,大地　康雄,,
1994,m,5,時任　三郎,,
1994,f,12,鈴木　杏樹,,
1994,f,9,菊池　桃子,,
1994,f,8,観月　ありさ,,
1994,f,8,三田　佳子,,
1994,f,7,石田　ひかり,,
1994,f,7,久本　雅美,,
1994,f,6,安達　祐実,,
