edinet_code	sec_code	jcn	filer_name	fiscal_year	fiscal_period	submit_date	period_start	period_end	doc_id	doc_description	doc_path	csr_title	csr_path	csr_url	consolidated_flag	market_sector	industry_code	number_of_month_for_settlement	number_of_shares_issued	net_sales	operating_income	ordinary_income	profit	total_assets	net_assets	net_worth	dividend	annual_dividends_per_share	profit_per_share	net_assets_per_share	net_assets_for_preferred_shares	dividends_for_preferred_shares	average_total_assets	average_net_assets	average_net_worth	average_dividend	roe	roa	operating_income_on_sales	ordinary_income_on_sales	capital_ratio	dividend_payout_ratio	doe	open	high	low	close	average
E00004	13760	5070001000715	カネコ種苗株式会社	2014	FY	2015-08-31	2014-06-01	2015-05-31	S1005SBA	有価証券報告書－第68期(平成26年6月1日－平成27年5月31日)	docs/S1005SBA.xbrl				0	6	1	12	1.1772626E7	5.8475999E10	2.12700006E9	2.26099994E9	1.366E9	4.3983E10	1.53999995E10	1.53999995E10	2.93E8	25.0	116.36	1311.54			4.2317001E10	1.47079997E10	1.47079997E10		9.29	5.34	3.64	3.87	35.01	21.45	1.99	1023.0	1280.0	990.0	1205.0	1070.0
E00006	13770	6020001008662	株式会社　サカタのタネ	2014	FY	2015-08-25	2014-06-01	2015-05-31	S1005SWT	有価証券報告書－第74期(平成26年6月1日－平成27年5月31日)	docs/S1005SWT.xbrl				0	1	1	12	4.8410752E7	3.4554999E10	1.688E9	2.84099994E9	1.61E9	8.2219999E10	7.2723997E10	7.2723997E10	1.035E9	23.0	35.79	1615.93			7.9869002E10	7.1318503E10	7.1318503E10		2.26	3.56	4.88	8.22	88.45	64.29	1.45	1991.0	2909.0	1795.0	2864.0	1978.0
E00008	13790	6100001003151	ホクト株式会社	2014	FY	2015-06-26	2014-04-01	2015-03-31	S10058KN	有価証券報告書－第52期(平成26年4月1日－平成27年3月31日)	docs/S10058KN.xbrl				0	1	1	12	3.335904E7	4.3538002E10	3.87399987E9	5.8770002E9	2.32199987E9	7.2436998E10	5.0141E10	5.0099999E10	1.884E9	59.0	72.9	1567.36			6.9236498E10	4.8758002E10	4.87035E10		4.77	8.49	8.9	13.5	69.16	81.14	3.86	2000.0	2594.0	1973.0	2330.0	2167.0
E00009	13810	5340001000258	株式会社アクシーズ	2014	FY	2015-09-24	2014-07-01	2015-06-30	S1005YWH	有価証券報告書－第53期(平成26年7月1日－平成27年6月30日)	docs/S1005YWH.xbrl				0	6	1	12	5617500.0	1.53049999E10	1.558E9	1.64300006E9	9.45E8	7.7030001E9	5.6150001E9	5.6150001E9	1.4E8	25.0	168.36	999.9			7.1184998E9	5.1635E9	5.1635E9		18.3	23.08	10.18	10.74	72.89	14.81	2.71	1196.0	2750.0	1165.0	2416.0	1479.6666
E00010	13820	9450001002677	株式会社ホーブ	2014	FY	2015-09-29	2014-07-01	2015-06-30	S1005ZMH	有価証券報告書－第29期(平成26年7月1日－平成27年6月30日)	docs/S1005ZMH.xbrl				0	6	1	12	762000.0	3.672E9	4.3E7	2.0E7	1.3E7	1.17500006E9	9.5E8	9.5E8	1.1E7	15.0	18.12	1247.41			1.23299994E9	9.72E8	9.72E8		1.34	1.62	1.17	0.54	80.85		1.13	1430.0	1500.0	1055.0	1099.0	1258.75
E00011	19110	4010001090011	住友林業株式会社	2014	FY	2015-06-23	2014-04-01	2015-03-31	S10052GF	有価証券報告書－第75期(平成26年4月1日－平成27年3月31日)	docs/S10052GF.xbrl	住友林業株式会社	docs/E00011_2015_JP_32.pdf	http://csr-toshokan.net/ln_book/sfc-2015/download.pdf	0	1	3	12	1.7741024E8	7.1458298E11	1.89220004E10	2.464E10	1.48510003E10	5.27551988E11	2.03052007E11	2.03052007E11	3.808E9	21.5	83.84	1146.33			5.39605008E11	1.94246001E11	1.94246001E11		7.65	4.57	2.65	3.45	38.49	25.64	1.96	1176.0	1742.0	1060.0	1643.0	1102.0
E00012	13010	1010401033225	株式会社　極洋	2014	FY	2015-06-24	2014-04-01	2015-03-31	S1004WFW	有価証券報告書－第92期(平成26年4月1日－平成27年3月31日)	docs/S1004WFW.xbrl				0	1	1	12	1.0928284E8	2.12085998E11	1.894E9	2.042E9	2.13900006E9	7.3518998E10	1.76950006E10	1.76950006E10	5.25E8	5.0	20.37	168.48			7.195E10	1.69295002E10	1.69295002E10		12.63	2.84	0.89	0.96	24.07	24.54	3.1	275.0	305.0	250.0	277.0	277.0
E00014	13320	1010001016860	日本水産株式会社	2014	FY	2015-06-25	2014-04-01	2015-03-31	S1004YR1	有価証券報告書－第100期(平成26年4月1日－平成27年3月31日)	docs/S1004YR1.xbrl				0	1	1	12	2.77210272E8	3.50683005E11	2.84600013E9	5.8569999E9	4.15500006E9	2.98391011E11	5.6867E10	5.6867E10	8.29E8	3.0	15.03	205.73			2.98424992E11	5.1924001E10	5.1924001E10		8.0	1.96	0.81	1.67	19.06	19.95	1.6	375.0	692.0	333.0	679.0	375.8889
E00015	13330	2010601040697	マルハニチロ株式会社	2014	FY	2015-06-25	2014-04-01	2015-03-31	S10053MF	有価証券報告書－第71期(平成26年4月1日－平成27年3月31日)	docs/S10053MF.xbrl				1	1	1	12	5.2656912E7	8.6378401E11	8.6860001E9	1.18340004E10	7.2189998E9	5.02015984E11	1.09177004E11	8.8892998E10	1.57900006E9	30.0	145.51	1688.6			5.02015984E11	1.09177004E11	8.8892998E10		8.12	2.36	1.01	1.37	17.71	21.87	1.45	1800.0	2218.0	1632.0	2137.0	1722.5
E00017	13520	9010001034921	株式会社ホウスイ	2014	FY	2015-06-24	2014-04-01	2015-03-31	S10053CE	有価証券報告書－第80期(平成26年4月1日－平成27年3月31日)	docs/S10053CE.xbrl				0	1	26	12	8.379E7	1.95559997E10	3.22E8	2.67E8	1.26E8	1.80580004E10	5.2499999E9	5.2499999E9	1.67E8	2.0	1.52	62.69			1.84714998E10	5.2525E9	5.2525E9		2.4	1.45	1.65	1.37	29.07	132.54	3.18	128.0	173.0	115.0	128.0	128.0
